id,src_legal,tgt_plain
1,"In order to obtain discovery regarding the issue of personal jurisdiction, at a minimum, the plaintiff must establish a colorable or prima facie showing of personal jurisdiction.","In order to obtain discovery regarding the issue of personal jurisdiction, at a minimum, the plaintiff must establish a convincing or self-evident showing of personal jurisdiction."
2,"Plaintiffs argue that Defendants knew, or should have known, that the risk of new-onset diabetes mellitus or hyperglycemia associated with Risperdal is significantly higher than with older, cheaper, and equally effective “typical” antipsychotic drugs.","Complainants argue that defendants knew, or should have known, that the risk of new-onset diabetes mellitus or hyperglycemia associated with Risperdal is significantly higher than with older, cheaper, and equally effective “typical” antipsychotic drugs."
3,"In addition, Palermo alleges that his manager, Brittany Williams (Williams), who is a black female, and another one of his direct supervisors, Terry Green (Green) were aware of his EEO Complaints, the 2004 Case, and the 2008 Case.","In addition, Palermo claims that his manager, Brittany Williams (Williams), who is a black female, and another one of his direct supervisors, Terry Green (Green) were aware of his Equal Employment Opportunity Complaints, the 2004 Case, and the 2008 Case."
4,"Arch took no action on eight of those claims (Chart, Claims 13-20), and issued a denial letter for the ninth claim (Chart, Claim 21) on March 1, 2010 by re-asserting its position noted before and further asserting that an intervening Endorsement No.","Arch took no action on eight of those claims (Chart, Claims 13-20), and issued a denial letter for the ninth claim (Chart, Claim 21) on March 1, 2010 by re-asserting its position noted before and further asserting that an intervening Endorsement No."
5,"Because, apparently, no act of obeisance goes unpunished, the Federal Circuit then vacated this Court’s grant of summary judgment to Amphastar and held, in November, 2015, 'that the safe harbor provision did not apply to' its infringing activities.","Because, apparently, no act of reverence goes unpunished, the Federal Circuit then invalidated this Court’s grant of summary judgment to Amphastar and held, in November, 2015, 'that the provision granting protection from liability or penalty if certain conditions are met did not apply to' its infringing activities."
6,"This Court “may consider a number of factors, including whether the work performed was duplicative, if an attorney takes extra time due to inexperience, or if an attorney performs tasks normally performed by paralegals, clerical personnel, or other non-attorneys.” Ussery, 10 Vet.App.","This Court “may consider a number of factors, including whether the work performed was repetitious, if a lawyer takes extra time due to inexperience, or if a lawyer performs tasks normally performed by legal assistants, clerical personnel, or other non-lawyers.”"
7,"Obviously, and to the extent further discussion of essential character is even necessary here: the essence of pots and pans is to contain and cook, and they can serve those functions with or without lids; and while lids may complete or enhance that purpose, they are merely incidental thereto and serve no purpose otherwise without the pots/pans to which they are intended to be fitted or combined.","Obviously, and to the extent further discussion of essential character is even necessary here: the essence of pots and pans is to contain and cook, and they can serve those functions with or without lids. While lids may complete or enhance that purpose, they are merely incidental thereto and serve no purpose otherwise without the pots/pans to which they are intended to be fitted or combined."
8,"Moreover, under section 5121, a determination of whether accrued benefits should be awarded “must be determined based on evidence that was either'physically or constructively in the [deceased claimant’s] file at the time of his death.” Ralston v. West, 13 Vet.App.","Moreover, under section 5121, a determination of whether accrued benefits should be granted “must be determined based on evidence that was either'physically or constructively in the [deceased claimant’s] file at the time of his death.” Ralston v. West, 13 Vet.App."
9,"We will pay all sums an “insured” legally must pay as damages because of “bodily injury” or “property damage” to which this insurance applies, caused by an “accident” and resulting from “garage operations” involving the ownership, maintenance or use of covered “autos”.","We will pay all sums an “insured” legally must pay as damages because of “bodily injury” or “property damage” to which this insurance applies, caused by an “accident” and resulting from “garage operations” involving the ownership, maintenance or use of covered “autos”."
10,"Where, as here, a prisoner “challenges the very fact or duration of his physical imprisonment, and the relief he seeks is a determination that he is entitled to immediate release or a speedier release from that imprisonment, his sole federal remedy is a writ of habeas corpus.” Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct.","Where, as here, a prisoner “challenges the very fact or duration of his physical detention, and the relief he seeks is a determination that he is entitled to immediate release or a speedier release from that detention, his sole federal remedy is a judge's order to bring prisoner into court.” Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct."
