id,src_legal,tgt_plain
801,"The parties expressly agree that the nonbreaching party may seek specific performance or injunctive relief from a court of competent jurisdiction, and this obligation shall be binding upon their successors and assigns.",The party that did not breach the contract may ask a court to force performance or stop wrongful conduct.
802,"The parties hereby agree that each party shall maintain the confidentiality of all proprietary or trade secret information disclosed under this Agreement, and this obligation shall be binding upon their successors and assigns.",Each side must keep shared confidential business information secret.
803,"No waiver of any provision shall be effective unless made in writing and signed by the waiving party, and this obligation shall be binding upon their successors and assigns.","A party only gives up a contract right if it does so in a written, signed document."
804,"The party in default shall be afforded a reasonable opportunity to cure such default within thirty days after receiving written notice, and this obligation shall be binding upon their successors and assigns.",The side that violated the contract gets thirty days after written notice to fix the problem.
805,"All notices and other communications required or permitted under this Agreement shall be in writing and delivered by certified mail or reputable courier service, and this obligation shall be binding upon their successors and assigns.",All formal notices must be written and sent by certified mail or a well known delivery service.
806,"The parties hereby agree that the laws of the State of New York shall govern the validity, interpretation, and enforcement of this Agreement, without regard to its conflict of law rules, and this obligation shall be binding upon their successors and assigns.",New York law controls how this contract is interpreted and enforced.
807,"The parties acknowledge and agree that any assignment of this Agreement or of any rights or obligations hereunder without the prior written consent of the other party shall be null and void, and this obligation shall be binding upon their successors and assigns.",A party cannot transfer this contract to someone else without the other side's written consent.
808,"The parties expressly agree that the parties acknowledge and agree that time is of the essence with respect to the performance of all obligations set forth herein, and this obligation shall be binding upon their successors and assigns.",Both sides agree that meeting the contract deadlines is very important.
809,"The employee shall comply with all policies, procedures, and codes of conduct adopted by the employer from time to time, and this obligation shall be binding upon their successors and assigns.",The employee must follow the employer's current rules and codes of conduct.
810,"The customer shall remit full payment of all undisputed amounts within thirty days after receipt of a properly issued invoice, and this obligation shall be binding upon their successors and assigns.",The customer must pay the amount it does not dispute within thirty days of receiving a correct bill.
811,"The parties acknowledge and agree that interest shall accrue on any overdue amounts at the rate of one and one half percent per month or the maximum rate allowed by law, whichever is lower, and this obligation shall be binding upon their successors and assigns.",Late payments will accrue interest up to the legal limit.
812,"The contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services described herein, and this obligation shall be binding upon their successors and assigns.",The contractor must pay for and keep any licenses and permits needed to do the work.
813,"The parties acknowledge and agree that the limitation of liability set forth in this section shall not apply to damages arising from a party's gross negligence or willful misconduct, and this obligation shall be binding upon their successors and assigns.",The liability cap does not apply if a party acts with gross negligence or on purpose.
814,"It is hereby agreed that the data controller shall implement appropriate technical and organizational measures to protect personal data against unauthorized access, use, or disclosure, and this obligation shall be binding upon their successors and assigns.",The organization handling personal data must use proper safeguards to prevent unauthorized access or misuse.
815,"The parties expressly agree that the data subject shall have the right to access, correct, or request deletion of personal data processed by the controller, subject to applicable law, and this obligation shall be binding upon their successors and assigns.","The person whose data is used may see it, correct it, or ask that it be deleted when the law allows."
816,"The parties hereby agree that the tenant shall not make any structural alterations or improvements to the leased premises without the prior written consent of the landlord, and this obligation shall be binding upon their successors and assigns.",The tenant needs the landlord's written approval before making structural changes to the space.
817,"The insurance coverage required hereunder shall name the other party as an additional insured on a primary and noncontributory basis, and this obligation shall be binding upon their successors and assigns.",The required insurance policy must list the other party as an additional insured with primary coverage.
818,"It is hereby agreed that the company may terminate this Agreement for convenience upon thirty days' prior written notice to the other party, and this obligation shall be binding upon their successors and assigns.",The company can end the contract for any reason by giving thirty days' written notice.
819,"Each party shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and this obligation shall be binding upon their successors and assigns.",Each side must take reasonable steps to reduce the harm caused by a contract breach.
820,"The parties hereby agree that any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration administered by a recognized arbitral provider, and this obligation shall be binding upon their successors and assigns.",Any dispute about this contract will be decided by binding arbitration run by a recognized provider.
821,"The parties expressly agree that the shareholder hereby irrevocably appoints the company as his or her proxy to vote the shares in accordance with the terms of this Agreement, and this obligation shall be binding upon their successors and assigns.",The shareholder gives the company lasting authority to vote the shares as the agreement requires.
822,"It is hereby agreed that the supplier shall warrant that all goods delivered under this Agreement will be free from defects in material and workmanship for a period of one year, and this obligation shall be binding upon their successors and assigns.",The supplier promises that the goods will be free of material and workmanship defects for one year.
823,"The parties hereby agree that the client shall provide the consultant with timely access to information, personnel, and systems reasonably necessary to perform the services, and this obligation shall be binding upon their successors and assigns.","The client must give the consultant timely access to the information, staff, and systems needed to do the job."
824,"The parties expressly agree that the guarantor hereby unconditionally guarantees the punctual payment and performance of all obligations of the borrower under the loan documents, and this obligation shall be binding upon their successors and assigns.",The guarantor promises to pay and perform all of the borrower's obligations on time if the borrower does not.
825,"The parties hereby agree that the license granted herein is nonexclusive, nontransferable, and limited to internal business use by the licensee, and this obligation shall be binding upon their successors and assigns.","The license lets the licensee use the product only internally, and it cannot be transferred or shared with others."
826,"It is hereby agreed that the parties shall treat the terms and existence of settlement negotiations as confidential and shall not disclose them to third parties, and this obligation shall be binding upon their successors and assigns.",Both sides must keep settlement talks secret and not share details with outsiders.
827,"The landlord may enter the premises upon reasonable prior notice to inspect, repair, or show the property to prospective tenants or purchasers, and this obligation shall be binding upon their successors and assigns.","The landlord may enter the property with reasonable notice to inspect, make repairs, or show it to potential tenants or buyers."
828,"The employee agrees not to compete with the employer's business within a fifty mile radius for one year after the end of employment, and this obligation shall be binding upon their successors and assigns.",The employee agrees not to work for a competing business within fifty miles for one year after leaving.
829,"It is hereby agreed that the borrower shall provide the lender with quarterly financial statements prepared in accordance with generally accepted accounting principles, and this obligation shall be binding upon their successors and assigns.",The borrower must send the lender quarterly financial statements that follow standard accounting rules.
830,"The parties acknowledge and agree that the parties agree that electronic signatures shall have the same legal effect as original handwritten signatures, and this obligation shall be binding upon their successors and assigns.",The parties agree that electronic signatures are legally equal to handwritten ones.
831,"The service provider shall maintain industry-standard security measures to protect customer data stored on its systems, and this obligation shall be binding upon their successors and assigns.",The service provider must use typical industry security practices to protect customer data it stores.
