id,src_legal,tgt_plain
1201,Time is of the essence with respect to all obligations and performance dates specified in this Agreement.,Deadlines are very important for all tasks and dates in this deal.
1202,"Nothing contained herein shall be construed to create a partnership, joint venture, or agency relationship between the Licensor and the Licensee.",This contract does not make the licensor and licensee partners or agents of each other.
1203,"The Licensor makes no representations or warranties, express or implied, regarding the fitness for a particular purpose of the goods.",The licensor does not promise that the goods will work for any specific job.
1204,"The Licensor makes no representations or warranties, express or implied, regarding the fitness for a particular purpose of the goods.",The licensor does not promise that the goods will work for any specific job.
1205,The Employee covenants to maintain the secrecy of the Proprietary Information and shall not disclose said data to third parties to the widest scope authorized by legislation.,The worker promises to keep the private info secret and not share it with outsiders as much as the law allows.
1206,"All intellectual property rights developed during the term of this Agreement shall vest exclusively in the Vendor, as far as the governing law permits.",The seller will own all creative rights made during this contract to the full limit of the law.
1207,"No amendment, modification, or waiver of any provision of this Agreement shall be effective unless in writing and signed by both parties.",Changes to this contract are only valid if they are written down and signed by both sides.
1208,"The Lessee shall be responsible for all applicable federal, state, and local taxes arising from the transactions contemplated hereby, contingent upon statutory mandates.","The tenant must pay all taxes related to this deal, obeying relevant laws."
1209,"This instrument embodies the entire agreement between the parties and supersedes all prior negotiations, understandings, and representations.",This document contains the whole deal and replaces any previous talks or promises.
1210,"The Indemnitor makes no representations or warranties, express or implied, regarding the fitness for a particular purpose of the goods.",The payer does not promise that the goods will work for any specific job.
1211,"if any part of this text is judged legally void, the remaining portions shall remain in full force and effect, preserving the original intent of the parties.","If a court decides one part of this contract is broken, the rest of the contract stays valid and keeps the original meaning."
1212,"During the Term, the Lessor shall be the sole and exclusive provider of the Services to the Lessee within the Territory.","While this contract lasts, only the landlord can provide these services to the tenant in this area."
1213,The Receiving Party may not subcontract any portion of the services to be performed hereunder without the Disclosing Party's prior written approval.,The receiver cannot hire others to do the work without the sharer's written okay.
1214,Each party shall execute and deliver such further instruments as may be reasonably necessary to carry out the intent of this Agreement.,Each side will sign any extra papers needed to make this agreement work.
1215,The Employee covenants to maintain the secrecy of the Proprietary Information and shall not disclose said data to third parties as far as the governing law permits.,The worker promises to keep the private info secret and not share it with outsiders as much as the law allows.
1216,"This Agreement may be terminated forthwith by the Licensee unless distinctly stipulated elsewhere herein, provided that written notice is dispatched no less than thirty days prior to the effective date.","The licensee can end this contract immediately, unless the contract says otherwise, by sending a written warning at least 30 days in advance."
1217,"The Licensee shall be responsible for all applicable federal, state, and local taxes arising from the transactions contemplated hereby, subject to all applicable laws and regulations.","The licensee must pay all taxes related to this deal, obeying relevant laws."
1218,"The Employee agrees not to solicit, recruit, or hire any employee of the Employer for a period of twelve months following termination.",The worker agrees not to try to hire the employer's workers for one year after the contract ends.
1219,The Defendant may not subcontract any portion of the services to be performed hereunder without the Plaintiff's prior written approval.,The defendant cannot hire others to do the work without the plaintiff's written okay.
1220,"During the Term, the Employer shall be the sole and exclusive provider of the Services to the Employee within the Territory.","While this contract lasts, only the employer can provide these services to the worker in this area."
1221,"The Plaintiff makes no representations or warranties, express or implied, regarding the fitness for a particular purpose of the goods.",The plaintiff does not promise that the goods will work for any specific job.
