id,src_legal,tgt_plain,source
1,"In order to obtain discovery regarding the issue of personal jurisdiction, at a minimum, the plaintiff must establish a colorable or prima facie showing of personal jurisdiction.","In order to obtain discovery regarding the issue of personal jurisdiction, at a minimum, the plaintiff must establish a convincing or self-evident showing of personal jurisdiction.",real_lex_simple
2,"Plaintiffs argue that Defendants knew, or should have known, that the risk of new-onset diabetes mellitus or hyperglycemia associated with Risperdal is significantly higher than with older, cheaper, and equally effective “typical” antipsychotic drugs.","Complainants argue that defendants knew, or should have known, that the risk of new-onset diabetes mellitus or hyperglycemia associated with Risperdal is significantly higher than with older, cheaper, and equally effective “typical” antipsychotic drugs.",real_lex_simple
3,"In addition, Palermo alleges that his manager, Brittany Williams (Williams), who is a black female, and another one of his direct supervisors, Terry Green (Green) were aware of his EEO Complaints, the 2004 Case, and the 2008 Case.","In addition, Palermo claims that his manager, Brittany Williams (Williams), who is a black female, and another one of his direct supervisors, Terry Green (Green) were aware of his Equal Employment Opportunity Complaints, the 2004 Case, and the 2008 Case.",real_lex_simple
4,"Arch took no action on eight of those claims (Chart, Claims 13-20), and issued a denial letter for the ninth claim (Chart, Claim 21) on March 1, 2010 by re-asserting its position noted before and further asserting that an intervening Endorsement No.","Arch took no action on eight of those claims (Chart, Claims 13-20), and issued a denial letter for the ninth claim (Chart, Claim 21) on March 1, 2010 by re-asserting its position noted before and further asserting that an intervening Endorsement No.",real_lex_simple
5,"Because, apparently, no act of obeisance goes unpunished, the Federal Circuit then vacated this Court’s grant of summary judgment to Amphastar and held, in November, 2015, 'that the safe harbor provision did not apply to' its infringing activities.","Because, apparently, no act of reverence goes unpunished, the Federal Circuit then invalidated this Court’s grant of summary judgment to Amphastar and held, in November, 2015, 'that the provision granting protection from liability or penalty if certain conditions are met did not apply to' its infringing activities.",real_lex_simple
6,"This Court “may consider a number of factors, including whether the work performed was duplicative, if an attorney takes extra time due to inexperience, or if an attorney performs tasks normally performed by paralegals, clerical personnel, or other non-attorneys.” Ussery, 10 Vet.App.","This Court “may consider a number of factors, including whether the work performed was repetitious, if a lawyer takes extra time due to inexperience, or if a lawyer performs tasks normally performed by legal assistants, clerical personnel, or other non-lawyers.”",real_lex_simple
7,"Obviously, and to the extent further discussion of essential character is even necessary here: the essence of pots and pans is to contain and cook, and they can serve those functions with or without lids; and while lids may complete or enhance that purpose, they are merely incidental thereto and serve no purpose otherwise without the pots/pans to which they are intended to be fitted or combined.","Obviously, and to the extent further discussion of essential character is even necessary here: the essence of pots and pans is to contain and cook, and they can serve those functions with or without lids. While lids may complete or enhance that purpose, they are merely incidental thereto and serve no purpose otherwise without the pots/pans to which they are intended to be fitted or combined.",real_lex_simple
8,"Moreover, under section 5121, a determination of whether accrued benefits should be awarded “must be determined based on evidence that was either'physically or constructively in the [deceased claimant’s] file at the time of his death.” Ralston v. West, 13 Vet.App.","Moreover, under section 5121, a determination of whether accrued benefits should be granted “must be determined based on evidence that was either'physically or constructively in the [deceased claimant’s] file at the time of his death.” Ralston v. West, 13 Vet.App.",real_lex_simple
9,"We will pay all sums an “insured” legally must pay as damages because of “bodily injury” or “property damage” to which this insurance applies, caused by an “accident” and resulting from “garage operations” involving the ownership, maintenance or use of covered “autos”.","We will pay all sums an “insured” legally must pay as damages because of “bodily injury” or “property damage” to which this insurance applies, caused by an “accident” and resulting from “garage operations” involving the ownership, maintenance or use of covered “autos”.",real_lex_simple
10,"Where, as here, a prisoner “challenges the very fact or duration of his physical imprisonment, and the relief he seeks is a determination that he is entitled to immediate release or a speedier release from that imprisonment, his sole federal remedy is a writ of habeas corpus.” Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct.","Where, as here, a prisoner “challenges the very fact or duration of his physical detention, and the relief he seeks is a determination that he is entitled to immediate release or a speedier release from that detention, his sole federal remedy is a judge's order to bring prisoner into court.” Preiser v. Rodriguez, 411 U.S. 475, 500, 93 S.Ct.",real_lex_simple
11,"At oral argument, ST argued that it is clear that no renewal premium is due under ST’s premium plan because the document setting forth the premium plan, the 2005 Flow Plan, nowhere mentions renewal premiums being due after the MCL is reached.","At verbal argument, ST argued that it is clear that no renewal premium is due under ST’s premium plan because the document setting forth the premium plan, the 2005 Flow Plan, nowhere mentions renewal premiums being due after the maximum contaminant level is reached.",real_lex_simple
12,"Therefore, the government presented sufficient evidence for a jury to conclude that defendant pledged “all furniture, equipment, and fixtures” in each of the four properties listed, including the Restaurant, and that he falsely represented that no one else held any interest in the collateral.","Therefore, the government presented sufficient evidence for a jury to conclude that defendant pledged “all furniture, equipment, and fixtures” in each of the four properties listed, including the restaurant, and that he falsely represented that no one else held any interest in the security deposit.",real_lex_simple
13,"If the plaintiff succeeds in doing so, the burden of production shifts to the defendant ""to articulate some legitimate, nondiscriminatory reason for the employee’s rejection.” McDonnell Douglas, 411 U.S. at 802, 93 S.Ct.","If the complainant succeeds in doing so, the burden of production shifts to the respondent ""to express some legitimate, nondiscriminatory reason for the employee’s rejection.” McDonnell Douglas, 411 U.S. at 802, 93 S.Ct.",real_lex_simple
14,"However, because the Court had previously overruled those additional arguments during the September 7 hearing, and because the Court specifically narrowed Defendant's supplemental argument to the issue of § 6308, and because Defendant’s reply raises new issues insofar as neither its supplemental filing nor Plaintiff's response raised those issues, the Court rejects those argument out of hand.","However, because the Court had previously ruled against those additional arguments during the September 7 hearing and specifically narrowed Defendant's supplemental argument to the issue of § 6308, and because Defendant’s reply raises new issues insofar as neither its supplemental filing nor Plaintiff's response raised those issues, the Court rejects those argument without thought.",real_lex_simple
15,"The closest Williams comes to addressing the Baze standard is in a heading in the briefs outline that reads, “What is known of the State’s Revised protocol indicates that Williams will likely suffer needless, undue, and excruciating pain during execution.”","The closest Williams comes to addressing the Baze standard is in a heading in the briefs outline that reads, “What is known of the State’s Revised protocol indicates that Williams will likely suffer unnecessary, unlawful, and severe pain during execution.”",real_lex_simple
16,"This is undisputed, but neither party provides any evidence as to what kind of hospital Plaintiffs would be placed in, what level of care they would receive, what services they would be entitled to during their hospitalizations, or the probable durations of their hospital stays.","This is unargued, but neither party provides any evidence as to what kind of hospital complainants would be placed in, what level of care they would receive, what services they would be entitled to during their hospitalizations, or the probable durations of their hospital stays.",real_lex_simple
17,"In sum, because Trader Joe’s has made no showing that the lack of an “All Natural” label would imply or suggest ascorbic acid inferiority in violation of the FDCA and FDA regulations, it has made no showing that plaintiffs’ Juice-related claims are preempted.","In sum, because Trader Joe’s has made no showing that the lack of an “All Natural” label would imply or suggest ascorbic acid inferiority in violation of the Federal Food, Drug and Cosmetic Act and Food & Drug Administration regulations, it has made no showing that plaintiffs’ Juice-related claims are preempted.",real_lex_simple
18,"To be sure, to win on her alienation of affections claim, Plaintiff must prove: (1) love and affection of the spouse for the plaintiff; (2) actual damages; and (3) overt acts, conduct, or enticement on the part of the defendant causing those affections to depart.","To be sure, to win on her alienation of affections claim, Plaintiff must prove: (1) love and affection of the spouse for the plaintiff; (2) actual damages; and (3) clear acts, conduct, or attraction on the part of the defendant causing those affections to depart.",real_lex_simple
19,"Even after the execution of the Contract, Starr and Carson each signed various purchase orders that indicated delivery to Jas-min’s address; Trina delivered the solar panels directly to Jasmin in Australia; and Jasmin accepted and installed the panels, at one point stating in an email to Trina on which JRC was copied that Jasmin would pay the invoices.","Even after the execution of the Contract, Starr and Carson each signed various purchase orders that indicated delivery to Jas-min’s address; Trina delivered the solar panels directly to Jasmin in Australia; and Jasmin accepted and installed the panels, at one point stating in an email to Trina on which JRC was copied that Jasmin would pay the invoices.",real_lex_simple
20,"In challenging the validity of Claims 1 and 9 of the ’681 Patent—both of which are independent claims—Nash cites Section 103 of the Patent Act, which forbids the issuance of a patent where “the differences between the claimed invention and the prior art are such that the claimed invention as a whole would have been obvious before the effective filing date of the claimed invention to a person having ordinary skill in the art to which the claimed invention pertains.” 35 U.S.C.",Section 103 of the Patent Act forbids the issuance of a patent where “the differences between the claimed invention and the prior art are such that the claimed invention as a whole would have been obvious before the effective filing date of the claimed invention to a person having ordinary skill in the art to which the claimed invention pertains.” 35 U.S.C. In challenging the validity of Claims 1 and 9 of the ’681 Patent—both of which are independent claims—Nash cites the Section 103 of the Patent Act.,real_lex_simple
21,"In doing so, the Board should be mindful that it “has a special obligation to read pro se filings liberally.” Robinson v. Shinseki, 557 F.3d 1355, 1358-59 (Fed.Cir.2009).","In doing so, the Board should be mindful that it has a special obligation to read the filings made by persons without the assistance of an attorney open-mindedly.",real_lex_simple
22,The failure to adhere to this procedural mandate renders the notice of pen-dency “defective and void from the beginning.”,Failure to comply with this procedural instruction causes the notice of pendency to become non valid from the time it was executed.,real_lex_simple
23,"The burden is on the moving party to show, through the pleadings, discovery and affidavits, “that there is no genuine dispute as to any material fdet and [that] the movant is .entitled to-judgment as a matter of law.” Fed.","The party who is making a request to the court must demonstrate that the pleadings, discovery and written statements show that there is no dispute over material facts and that they have the right to request to the court to render a judgment that the opposing party’s evidence is insufficient.",real_lex_simple
24,"The Court must therefore grant the defendants’ motion to dismiss if it answers three questions in the affirmative: (1) whether the defendants are, “provider[s] ... of an interactive computer service,” 47 U.S.C.","Therefore, the court must accept the request of the defendant to dismiss the case if it answers the following questions in the affirmative: (1) whether defendants are provider(s) … of an interactive computer service.",real_lex_simple
25,No unacceptable evals and nothing that really stands out in the weekly ... [training and HR pretty much agrees [sic] we don’t have a case: Perhaps Steve’s report will change in entirety based on 6th step info.,There are no acceptable evaluations and no significant matter in the weekly training. The human resources team stated that they do not have a case. Steve’s report may completely change depending on the 6th step information.,real_lex_simple
26,"In this group are four pro se parties (Dwight E. Nolt [# 226], Mark Powell [#208], Chris Pavlou [#119] and Paul R. Worsham [# 200]) and one “professional and generally unsuccessful objector,” see In re Royal Ahold N.V. Sec.","Merck argues that Illinois Human Rights Act, 775 ILCS 5/1-101 and the following articles restrict making the state whistleblower claim regulated under Federal Rules of Civil Peocedure 12(b)(1) and - 12(b)(6). This is why Merck requests the dismissal of this claim.",real_lex_simple
27,"In Fluorine’s view, Amtrak may condemn a property interest only “as a last resort” — “where it cannot practicably do otherwise” — and it urges the Court to engage in a searching, fact- specific review of Amtrak’s condemnation decision.","In Flourine’s view, Amtrak can only seize a propoerty interest if there are no other practicable solutions. Flourine requests the Court to search the facts regarding Amtrak’s seizure decision.",real_lex_simple
28,"There is no indication on the face of the April 1988 rating decision that the RO did not consider the evidence of record or the application of § 4.16(b), and the Court cannot conclude that it failed to do so on the basis of silence alone.",There is no indication in the April 1988 rating decision that the RO did not take into account the evidence in the records or the application of Article 4.16(b). The Court cannot make such conclusion because of the mere fact that RO stayed silent.,real_lex_simple
29,"Should-the Court find that such costs constitute an economic injury sufficient to confer standing, “a private plaintiff bringing a UCL claim automatically would have standing merely by filing suit.” Cordon v. Wachovia Mortg., a Div.","If the Court decides that such costs constitute a sufficient economic injury to decide that there is sufficient connection to be able to request remedy, any plaintiff bringing a UCL claim will automatically be entitled to be involved in the legal proceedings simply by bringing peoceedings.",real_lex_simple
30,"To the extent that Vivendi’s argument is that GAMCO should have unearthed information that would have led it to discount Vivendi’s misrepresentations, such arguments fails because contributory negligence is not a defense to securities fraud.","The Veterans Court declared that it is authorized to grant remedy by compelling a lower court to perform an act. However, it noted that this kind of remedy can only be granted for extraordinary circumstances as it is a drastic one.",real_lex_simple
31,"The privilege “recognizes that sound legal advice or advocacy serves public ends and that such advice or advocacy depends upon the lawyer’s being fully informed by the client.” Upjohn v. United States, 449 U.S. 383, 389, 101 S.Ct.","Vivendi’s argument is that GAMCO should have uncovered information that would enable it to disregard Vivendi’s misinterpretations. However, these arguments fail because the plaintiff’s failure to exercise reasonable care against their own injury is not a defense against securities fraud.",real_lex_simple
32,"The Veterans Court recognized its authority to grant relief by way of writ of mandamus, noting that such relief “is a drastic one, to be invoked only in extraordinary circumstances.” Veterans Opinion at 1 (citing Kerr v. U.S. Dist.","The legal principle protecting certain confidential commucations from disclosure without the client’s permission, accepts that sound legal advice or advocacy serves public purposes and such advice or advocacy depends upon the attorney being fully informed by the client.",real_lex_simple
33,"Plaintiffs respond by noting that, according to the Amended Complaint, the parties engaged in negotiations over an unexecuted draft Operating Agreement, which “contemplated that [the parties] would ‘jointly operate the proton therapy center.’” Pl.","Plaintiffs responded by stating that, according to the written revision of the original complaint filed previously, the parties have negotiated on an unsigned draft Operating Agreement, which stipulates that they will jointly operate the proton therapy center.",real_lex_simple
34,The only exception to this general rule — one that is not applicable here — is if the transferor court already decided an issue (based on its own interpretation of the law) and thus the “law of the case” governs that issue even in the transferee court.,"The only exception to this general rule is when the court is tranferring the case to another jurisdiction has already decided an issue based on its own interpretation of the law. In such case, even the tranferee court must base their decisions to that interpretation for that specific matter. However, this exception is not applicable here.",real_lex_simple
35,"In other words, a finding that pinniped predation is having a significant negative impact on the decline or recovery of protected salmonids does not mean that pinniped predation is jeopardizing those salmonids, as the term is used in the ESA context.","Within the scope of ESA, the mere fact that pinniped predation is having a significant negative impact on the decline or recovery of protected salmonids does not mean that pinniped predation is endangering those salmonids.",real_lex_simple
36,"In determining whether Capital-Source retained a security interest in the cash proceeds, the court acknowledged that under § 9-332, “CapitalSource did not have a security interest in the funds after Debtor [Delco Oil] transferred them to Marathon.”","The court determined whether Capital-Source still has a right - collateral - in the cash proceeds securing the payment. While doing so, it decided that pursuant to Article 9-332, Capital Source lost such right in the funds after Debtor (Delco Oil) tranferred them to Marathon.",real_lex_simple
37,"The probation office filed a petition to revoke Defendant’s supervised release, alleging Defendant had been (1) associating with a convicted felon (a female) without permission, and (2) discharged from RRC for making threatening statements to a staff member.","The office dealing with the persons who have been convicted of a crime but are allowed to remain out of custody filed a petition to cancel the Defendant’s supervised release. The office claimed that the Defendant had been (1) associating with a convicted felon (a female) without permission, and (2) expelled from the PRC for making threatening statements to a staff member.",real_lex_simple
38,"Therefore, the court’s analysis in this Ruling focuses solely on the first step of the above inquiry: determining whether the state statutes “mandate or authorize a per se antitrust violation.” Freedom Holdings IV, 624 F.3d at 49 (quotation marks and citation omitted).","Therefore, the court’s analysis in this decision focuses only on the first step of the above investigation: determining whether the state legislation require or allow antitrust violation considering nothing else but only the state legislation.",real_lex_simple
39,"Having considered the motions, responses, replies, supporting evidence, the argument of counsel, and the applicable law, the court will grant the summary-judgment motion and dismiss all of Plaintiffs’ claims and dismiss all other pending motions for the reasons to follow.","The requests made to the court, responses, replies, supporting evidence, the argument of counsel, and the relevant jurisdictions’ law to be applied to the case were considered. Accordingly, the court will accept the request regarding the summary judgement and dismiss all of the Plaintiffs’ claims. The court will also dismiss all other requests for the reasons to follow.",real_lex_simple
40,"Now pending before the court is the “Motion to Dismiss Plaintiffs Second Amended Complaint Pursuant to Rule 12(b)(6) of Defendants Gene Byron Schenberg, Richard F. Huck, III, Michael J. McKitrick, Danna McKitrick, P.C., NetSecure Technologies, Ltd. and Daniel McCann.” (Dkt.","The court is now seeing the case titled “Motion to Dismiss Plaintiffs Second Amended Complaint Pursuant to Rule 12(b)(6) of Defendants Gene Byron Schenberg, Richard F. Huck, III, Michael J. McKitrick, Danna McKitrick, P.C., NetSecure Technologies, Ltd. and Daniel McCann.”",real_lex_simple
