id,src_legal,tgt_plain
601,"The parties hereby agree that the nonbreaching party may seek specific performance or injunctive relief, and this provision shall be binding upon all successors and assigns.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
602,"If any provision of this Agreement is determined to be invalid or unenforceable, each party shall maintain the confidentiality of proprietary information disclosed hereunder, and the remaining provisions shall remain in full force and effect.",Each side must keep shared confidential information private.
603,"For the avoidance of doubt, no waiver of any term shall be deemed a waiver of any subsequent breach of the same or any other term, and no party shall rely on any oral representation to the contrary.",Agreeing to ignore one violation does not mean future violations are forgiven.
604,"For the avoidance of doubt, the party in default shall be afforded a reasonable opportunity to cure such default, and no party shall rely on any oral representation to the contrary.",The side that made a mistake gets a fair chance to fix the problem.
605,"The parties hereby agree that all notices required or permitted under this Agreement shall be in writing and delivered by certified mail or recognized courier service, and this provision shall be binding upon all successors and assigns.",All required notices must be written and sent by certified mail or a well-known delivery service.
606,"In the event of a dispute arising under this Agreement, the laws of the State of New York shall govern the interpretation and enforcement of this Agreement, and such dispute shall be resolved in accordance with the procedures set forth herein.",New York law controls how this contract is read and enforced.
607,"Where a party fails to perform its obligations as required, any assignment of this Agreement without the prior written consent of the other party shall be null and void, without prejudice to any other remedy available at law or in equity.",You cannot transfer this contract to someone else without written permission.
608,"The obligations set forth in this section shall survive termination of this Agreement, and the parties acknowledge that time is of the essence with respect to the performance of their respective obligations.",Both sides agree that deadlines in the contract really matter.
609,"The obligations set forth in this section shall survive termination of this Agreement, and the employee shall comply with all applicable policies, procedures, and codes of conduct promulgated by the employer.",The employee must follow the employer's rules and policies.
610,"Subject to applicable law and regulatory requirements, the customer shall remit payment in full within thirty (30) days of receipt of an accurate and undisputed invoice, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",The customer has thirty days to pay a correct bill in full.
611,"The parties hereby agree that interest shall accrue on any past-due amounts at the lesser of one and one-half percent (1.5%) per month or the maximum rate permitted by law, and this provision shall be binding upon all successors and assigns.",Late payments will collect interest up to the legal limit.
612,"In the event of a dispute arising under this Agreement, the contractor shall obtain and maintain at its own expense all licenses, permits, and approvals required to perform the services, and such dispute shall be resolved in accordance with the procedures set forth herein.",The contractor has to get any licenses or permits needed to do the work.
613,"To the fullest extent permitted by law, the limitation of liability set forth in this section shall not apply to damages arising from gross negligence or willful misconduct, and the limitations of liability specified in this section shall apply.",The damage limits do not apply if someone acts with gross negligence or on purpose.
614,"To the fullest extent permitted by law, the data subject shall have the right to access, correct, or delete personal data processed by the controller, and the limitations of liability specified in this section shall apply.",The person whose data is used can see it and ask to correct or delete it.
615,"The parties hereby agree that the tenant shall not make any structural alterations to the premises without the prior written consent of the landlord, and this provision shall be binding upon all successors and assigns.",The tenant needs the landlord's written permission before changing the structure of the space.
616,"If any provision of this Agreement is determined to be invalid or unenforceable, the insurance coverage required under this Agreement shall name the other party as an additional insured, and the remaining provisions shall remain in full force and effect.",The required insurance must list the other party as also being covered.
617,"Notwithstanding any other term contained herein, the company may, at its sole discretion, terminate this Agreement for convenience upon thirty (30) days' prior written notice, unless otherwise agreed to in a subsequent written amendment.",The company can choose to end the contract for any reason with thirty days' written notice.
618,"Subject to applicable law and regulatory requirements, the parties shall use commercially reasonable efforts to mitigate any damages arising from a breach of this Agreement, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Both sides must try to reduce the harm caused by a breach.
619,"Subject to applicable law and regulatory requirements, any controversy or claim arising out of or relating to this Agreement shall be settled by binding arbitration, and the parties shall cooperate in good faith to effectuate the intent of this Agreement.",Any dispute about this contract will be decided by arbitration instead of a regular court.
620,"For the avoidance of doubt, the shareholder hereby irrevocably appoints the company as his or her proxy for purposes of voting the shares in accordance with this Agreement, and no party shall rely on any oral representation to the contrary.",The shareholder lets the company vote their shares as promised in the agreement.
621,"To the fullest extent permitted by law, the nonbreaching party may seek specific performance or injunctive relief, and the limitations of liability specified in this section shall apply.",The party that did not break the contract can ask the court to force performance or stop the other side from acting.
622,"The parties hereby agree that each party shall maintain the confidentiality of proprietary information disclosed hereunder, and this provision shall be binding upon all successors and assigns.",Each side must keep shared confidential information private.
