id,src_legal,tgt_plain
1,"In the 3rd hour, we will delve into our first case, which comes courtesy of Professor Pamela Karlan's course in torts.","In the 3rd hour, we will explore our first case, which comes from Professor Pamela Karlan's course in torts."
2,"We consider whether a law enforcement official can, consistent with the Fourth Amendment, attempt to stop a fleeing motorist from continuing his public-endangering flight by ramming the motorist's car from behind.","We consider whether a law enforcement official can, consistent with the Fourth Amendment protection against unreasonable searches and seizures, attempt to stop a fleeing driver from continuing his dangerous flight by ramming the driver's car from behind."
3,Put another way: Can an officer take actions that place a fleeing motorist at risk of serious injury or death in order to stop the motorist's flight from endangering the lives of innocent bystanders?,Put another way: Can an officer take actions that place a fleeing driver at risk of serious injury or death in order to stop the driver's flight from endangering the lives of innocent bystanders?
4,"In March 2001, a Georgia county deputy clocked respondent's vehicle traveling at 73 miles per hour on a road with a 55-mile-per-hour speed limit.","In March 2001, a Georgia county deputy measured the defendant's vehicle traveling at 73 miles per hour on a road with a 55-mile-per-hour speed limit."
5,The deputy activated his blue flashing lights indicating that respondent should pull over.,The deputy turned on his blue flashing lights indicating that the defendant should pull over.
6,"Instead, respondent sped away, initiating a chase down what is in most portions a two-lane road, at speeds exceeding 85 miles per hour.","Instead, the defendant sped away, starting a chase down what is mostly a two-lane road, at speeds exceeding 85 miles per hour."
7,"Petitioner, Deputy Timothy Scott, heard the radio communication and joined the pursuit along with other officers.","The plaintiff, Deputy Timothy Scott, heard the radio communication and joined the pursuit along with other officers."
8,"In the midst of the chase, respondent pulled into the parking lot of a shopping center and was nearly boxed in by the various police vehicles.","In the middle of the chase, the defendant pulled into the parking lot of a shopping center and was nearly boxed in by the various police vehicles."
9,"Respondent evaded the trap by making a sharp turn, colliding with Scott's police car, exiting the parking lot, and speeding off once again down a two-lane highway.","The defendant avoided the trap by making a sharp turn, colliding with Scott's police car, exiting the parking lot, and speeding off once again down a two-lane highway."
10,"Following respondent's shopping center maneuvering, which resulted in slight damage to Scott's police car, Scott took over as the lead pursuit vehicle.","Following the defendant's shopping center maneuvering, which resulted in slight damage to Scott's police car, Scott took over as the lead chase vehicle."
11,"Six minutes and nearly 10 miles after the chase had begun, Scott decided to attempt to terminate the episode by employing a ""Precision Intervention Technique ('PIT') maneuver, which causes the fleeing vehicle to spin to a stop.""","Six minutes and nearly 10 miles after the chase had begun, Scott decided to attempt to end the episode by using a ""Precision Intervention Technique ('PIT') maneuver, which causes the fleeing vehicle to spin to a stop."""
12,"Instead, Scott applied his push bumper to the rear of respondent's vehicle. As a result, respondent lost control of his vehicle, which left the roadway, ran down an embankment, overturned, and crashed.","Instead, Scott applied his push bumper to the rear of the defendant's vehicle. As a result, the defendant lost control of his vehicle, which left the roadway, ran down an embankment, overturned, and crashed."
13,Respondent was badly injured and was rendered a quadriplegic.,The defendant was badly injured and became a quadriplegic.
14,"Respondent filed suit against Deputy Scott and others under Rev. Stat. § 1979, 42 U.S.C. § 1983, alleging, inter alia, a violation of his federal constitutional rights, viz. use of excessive force resulting in an unreasonable seizure under the Fourth Amendment.","The defendant filed a lawsuit against Deputy Scott and others under Revised Statutes section 1979, Title 42 of the United States Code section 1983, claiming, among other things, a violation of his federal constitutional rights, namely use of excessive force resulting in an unreasonable seizure under the Fourth Amendment."
15,"In response, Scott filed a motion for summary judgment based on an assertion of qualified immunity.","In response, Scott filed a request for a decision without trial based on a claim of limited protection from lawsuits."
16,"In resolving questions of qualified immunity, courts are required to resolve a ""threshold question: Taken in the light most favorable to the party asserting the injury, do the facts alleged show the officer's conduct violated a constitutional right.""","In resolving questions of limited protection from lawsuits, courts are required to resolve a ""threshold question: Viewing the facts in favor of the person claiming the injury, do the facts claimed show the officer's conduct violated a constitutional right."""
17,"If, and only if, the court finds a violation of a constitutional right, ""the next, sequential step is to ask whether the right was clearly established in light of the specific context of the case.""","If, and only if, the court finds a violation of a constitutional right, ""the next step is to ask whether the right was clearly established considering the specific context of the case."""
18,The first step in assessing the constitutionality of Scott's actions is to determine the relevant facts.,The first step in evaluating the constitutionality of Scott's actions is to determine the relevant facts.
19,"As this case was decided on summary judgment, there have not yet been factual findings by a judge or jury, and respondent's version of events (unsurprisingly) differs substantially from Scott's version.","As this case was decided on a motion for decision without trial, there have not yet been factual findings by a judge or jury, and the defendant's version of events (unsurprisingly) differs substantially from Scott's version."
